2020-06-17 00:43:44.676 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.deleteById
2020-06-17 00:43:44.679 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.deleteBatchIds
2020-06-17 00:43:44.682 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.update
2020-06-17 00:43:44.685 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.updateById
2020-06-17 00:43:44.685 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectById
2020-06-17 00:43:44.687 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectBatchIds
2020-06-17 00:43:44.690 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectByMap
2020-06-17 00:43:44.693 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectOne
2020-06-17 00:43:44.696 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectCount
2020-06-17 00:43:44.699 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectMaps
2020-06-17 00:43:44.702 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectMapsPage
2020-06-17 00:43:44.705 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectObjs
2020-06-17 00:43:44.708 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectList
2020-06-17 00:43:44.710 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysPermissionMapper.selectPage
2020-06-17 00:43:47.055 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.findSysMechanismPageCount
2020-06-17 00:43:47.056 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.findSysMechanismByParentAll
2020-06-17 00:43:47.057 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.findSysMechanismPage
2020-06-17 00:43:47.057 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.findSysMechanismByIdToMechanismName
2020-06-17 00:43:47.057 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.findMechanismNameByMid
2020-06-17 00:43:47.066 WARN  --- [TableInfoHelper.java:301][main] - Can not find table primary key in Class: "com.xr.run.entity.SysMechanism".
2020-06-17 00:43:47.068 DEBUG --- [MybatisConfiguration.java:79][main] - addMappedStatement: com.xr.run.dao.SysMechanismMapper.insert
